SavingsID,Age,Work_Exp,Annual_Income,ZIP,FamilySize,Edu_Level,OtherLoan_Monthly,Securities_Account,CD_Account,Online_Services,CreditCard,CC_Spend,PersonalLoan (prediction)
29650,56,26,810000,95747,2,Master's and above,0,No,No,No,Yes,45000,No
30051,40,16,490000,92373,1,Higher Secondary,0,No,No,No,Yes,18000,No
30452,32,8,80000,92093,4,Bachelor's,0,Yes,No,Yes,No,0,No
30853,61,37,1310000,94720,1,Higher Secondary,0,No,No,Yes,No,0,No
31254,30,6,720000,94005,1,Higher Secondary,20700,No,No,No,No,0,No
31655,50,26,1900000,90245,3,Master's and above,24000,No,No,Yes,No,0,Yes
32056,29,5,440000,95819,1,Master's and above,0,No,No,Yes,No,0,No
32457,41,17,1390000,94022,2,Higher Secondary,0,No,No,Yes,No,0,No
32858,55,30,290000,94005,3,Bachelor's,0,Yes,Yes,Yes,No,0,No
33259,56,31,1310000,95616,2,Master's and above,0,No,No,No,No,0,Yes
33660,28,2,930000,94065,2,Higher Secondary,0,No,No,No,No,0,No
34061,31,5,1880000,91320,2,Higher Secondary,45500,No,No,No,No,0,No
34462,49,24,390000,90404,3,Bachelor's,0,Yes,No,Yes,No,0,No
34863,47,21,1250000,93407,1,Higher Secondary,11200,Yes,No,No,No,0,No
35264,42,18,220000,90089,1,Higher Secondary,0,No,No,No,No,0,No
35665,42,17,320000,94523,4,Bachelor's,0,No,No,Yes,No,0,No
36066,47,23,1050000,90024,2,Higher Secondary,0,No,No,No,No,0,No
36467,59,35,1310000,91360,1,Higher Secondary,0,No,No,Yes,Yes,38000,No
36868,62,36,1050000,95670,2,Higher Secondary,33600,No,No,No,No,0,No
37269,53,23,450000,95123,4,Master's and above,13200,Yes,No,No,No,0,No
37670,47,21,600000,93407,3,Higher Secondary,0,No,No,Yes,Yes,21000,No
38071,53,29,200000,90045,4,Higher Secondary,0,No,No,Yes,No,0,No
38472,42,18,1150000,91335,1,Higher Secondary,0,No,No,No,Yes,35000,No
38873,53,29,690000,93907,4,Bachelor's,0,No,No,Yes,No,0,No
39274,44,20,1300000,92007,1,Higher Secondary,0,No,No,No,Yes,50000,No
39675,41,16,850000,94606,1,Master's and above,0,No,No,Yes,Yes,40000,No
40076,28,3,1350000,94611,2,Higher Secondary,0,No,No,No,Yes,33000,No
40477,31,7,1350000,94901,4,Bachelor's,0,No,Yes,Yes,Yes,38000,Yes
40878,58,32,120000,91320,3,Master's and above,0,No,No,No,No,0,No
41279,46,20,290000,92220,3,Bachelor's,0,No,No,No,No,0,No
41680,54,30,1330000,93305,2,Master's and above,0,No,No,No,No,0,Yes
42081,50,26,190000,94720,2,Higher Secondary,11800,No,No,Yes,No,0,No
42482,60,36,410000,95134,4,Higher Secondary,17400,No,No,Yes,Yes,13000,No
42883,47,22,400000,94612,3,Bachelor's,0,No,No,Yes,No,0,No
43284,41,16,820000,92507,1,Master's and above,0,No,No,Yes,No,0,No
43685,33,9,500000,94305,1,Bachelor's,0,No,No,No,No,0,No
44086,46,22,180000,91730,1,Master's and above,0,No,No,Yes,No,0,No
44487,27,2,1090000,94005,4,Master's and above,0,No,No,No,No,0,No
44888,40,16,420000,94501,4,Bachelor's,12600,No,No,No,No,0,No
45289,48,22,780000,94305,3,Higher Secondary,0,No,No,Yes,No,0,No
45690,65,41,510000,94117,2,Higher Secondary,0,No,No,Yes,No,0,No
46091,25,-1,1130000,94303,4,Master's and above,0,No,No,No,Yes,23000,No
46492,55,30,1180000,90277,4,Bachelor's,0,No,No,Yes,No,0,Yes
46893,35,10,290000,94105,4,Master's and above,0,No,No,Yes,No,0,No
47294,43,19,340000,94305,3,Bachelor's,0,No,No,No,No,0,No
47695,60,34,640000,94550,2,Master's and above,23600,Yes,No,Yes,No,0,No
48096,65,39,1210000,92612,1,Higher Secondary,0,No,No,No,No,0,No
48497,38,12,480000,95617,4,Master's and above,0,No,No,Yes,No,0,No
48898,41,15,800000,95014,1,Higher Secondary,0,No,No,No,No,0,No
49299,54,28,1610000,92121,1,Higher Secondary,0,No,No,Yes,No,0,No
49700,49,23,940000,92374,1,Higher Secondary,0,No,No,Yes,No,0,No
50101,66,41,150000,91711,3,Master's and above,0,No,No,Yes,No,0,No
50502,48,23,740000,94080,1,Higher Secondary,0,No,No,Yes,No,0,No
50903,61,36,300000,94608,3,Bachelor's,0,No,No,No,No,0,No
51304,53,23,440000,93555,3,Master's and above,19800,No,No,Yes,Yes,10000,No
51705,43,18,220000,95670,2,Bachelor's,0,No,No,Yes,No,0,No
52106,56,32,380000,93311,4,Higher Secondary,16600,No,No,Yes,Yes,13000,No
52507,24,0,350000,94704,3,Bachelor's,0,Yes,No,Yes,No,0,No
52908,43,17,690000,92717,4,Higher Secondary,0,No,No,Yes,Yes,29000,No
53309,42,18,430000,92037,1,Higher Secondary,13600,No,No,No,No,0,No
53710,33,7,320000,95136,1,Master's and above,16600,No,No,Yes,No,0,No
54111,43,17,490000,94542,1,Higher Secondary,0,No,No,Yes,No,0,No
54512,41,14,90000,91330,3,Bachelor's,0,No,No,No,No,0,No
54913,62,38,450000,94143,4,,0,No,No,Yes,No,0,No
55314,40,15,820000,91775,3,Higher Secondary,30900,No,No,No,No,0,No
55715,58,34,920000,92703,2,Higher Secondary,10300,No,No,No,No,0,No
56116,39,14,390000,92354,3,Master's and above,0,No,No,Yes,No,0,No
56517,65,40,810000,92024,3,Bachelor's,0,No,No,Yes,No,0,No
56918,54,29,350000,92831,1,Bachelor's,0,No,No,Yes,No,0,No
57319,58,33,610000,92833,2,Master's and above,19300,No,No,Yes,No,0,No
57720,41,16,730000,92647,3,Higher Secondary,0,No,No,Yes,No,0,No
58121,32,7,1120000,94304,1,Higher Secondary,36600,No,No,No,No,0,No
58522,54,29,120000,90057,2,Master's and above,0,No,No,Yes,No,0,No
58923,52,26,380000,91711,3,Master's and above,0,No,No,Yes,No,0,No
59324,58,32,730000,94523,2,Bachelor's,0,No,No,Yes,Yes,7000,No
59725,37,13,840000,92130,1,Bachelor's,0,Yes,No,No,No,0,No
60126,39,15,780000,92121,4,Higher Secondary,11800,No,No,Yes,No,0,No
60527,60,35,800000,91301,3,Higher Secondary,0,No,No,Yes,No,0,No
60928,31,5,1150000,92096,2,Higher Secondary,10100,No,No,Yes,Yes,13000,No
61329,34,8,820000,92646,1,Bachelor's,25100,No,No,Yes,No,0,No
61730,38,14,740000,92182,2,Higher Secondary,0,Yes,No,Yes,No,0,No
62131,41,16,700000,92131,3,Master's and above,0,No,No,No,Yes,5000,No
62532,28,4,810000,94801,3,Higher Secondary,27600,No,No,Yes,No,0,No
62933,58,34,1490000,93720,4,Bachelor's,0,No,Yes,Yes,Yes,72000,Yes
63334,31,1,510000,90840,2,Master's and above,0,No,No,No,No,0,No
63735,30,4,390000,90245,3,Bachelor's,0,No,No,Yes,No,0,No
64136,53,29,980000,95035,3,Bachelor's,0,No,No,No,No,0,No
64537,58,33,450000,93010,4,Higher Secondary,0,No,No,Yes,Yes,21000,No
64938,59,32,490000,95035,4,Bachelor's,0,No,No,Yes,No,0,No
65339,49,25,1280000,95054,2,Higher Secondary,0,No,No,No,No,0,No
65740,59,34,420000,94928,3,Higher Secondary,0,Yes,Yes,No,Yes,15000,No
66141,59,35,180000,93305,1,Master's and above,0,No,No,Yes,No,0,No
66542,51,25,310000,90245,2,Master's and above,16100,No,No,Yes,Yes,4000,No
66943,35,11,580000,95831,3,Higher Secondary,14900,No,No,Yes,Yes,20000,No
67344,33,9,480000,91770,1,Master's and above,0,No,No,No,Yes,21000,No
67745,25,1,540000,94117,4,Higher Secondary,0,No,No,Yes,Yes,16000,No
68146,49,23,700000,92093,2,Bachelor's,0,No,No,No,No,0,No
68547,59,35,1240000,90007,1,Higher Secondary,0,No,No,No,Yes,74000,No
68948,46,19,840000,94102,1,Bachelor's,0,No,No,Yes,Yes,26700,No
69349,50,25,830000,94542,4,Master's and above,18800,No,No,Yes,No,0,No
69750,52,28,1630000,91423,2,Higher Secondary,11600,No,No,Yes,No,0,No
70151,48,22,420000,93955,3,Bachelor's,0,No,No,No,No,0,No
70552,46,22,1180000,94107,2,Higher Secondary,0,No,Yes,Yes,Yes,75000,No
70953,26,0,1320000,92834,,Master's and above,0,No,No,No,Yes,65000,Yes
71354,57,32,240000,93117,1,Higher Secondary,0,No,No,Yes,Yes,13000,No
71755,60,36,220000,94551,2,Higher Secondary,0,Yes,Yes,Yes,Yes,10000,No
72156,54,29,580000,92612,4,Master's and above,0,No,No,No,No,0,No
72557,24,0,600000,94596,4,Higher Secondary,0,No,No,Yes,No,0,No
72958,26,0,150000,92131,4,Higher Secondary,0,No,No,No,Yes,4000,No
73359,41,17,830000,94025,4,Higher Secondary,0,No,No,Yes,Yes,26700,No
73760,32,6,790000,94720,2,Master's and above,0,No,No,Yes,Yes,15000,No
74161,61,35,410000,94545,4,Bachelor's,0,Yes,No,Yes,No,0,No
74562,29,0,1340000,95819,4,Master's and above,0,No,No,No,No,0,Yes
74963,61,35,800000,95053,2,Higher Secondary,0,No,No,Yes,No,0,No
75364,38,12,520000,90036,1,Higher Secondary,0,No,No,No,No,0,No
75765,28,4,700000,91125,4,Higher Secondary,0,No,No,Yes,No,0,No
76166,53,27,920000,95120,2,Higher Secondary,0,Yes,No,No,No,0,No
76567,27,1,430000,94706,1,Higher Secondary,0,No,No,Yes,No,0,No
76968,25,1,210000,95827,3,Bachelor's,0,No,No,No,No,0,No
77369,33,9,230000,94305,3,Master's and above,0,No,No,Yes,Yes,9000,No
77770,50,26,130000,91320,4,,0,No,No,Yes,No,0,No
78171,27,1,1120000,90503,4,Master's and above,0,No,No,No,Yes,21000,No
78572,27,1,1380000,90250,2,Higher Secondary,0,No,No,Yes,No,0,No
78973,52,28,110000,95817,3,Higher Secondary,0,Yes,No,No,No,0,No
79374,38,13,1710000,92717,2,Higher Secondary,0,No,No,Yes,No,0,No
79775,58,34,420000,90095,4,Higher Secondary,0,No,No,Yes,Yes,15000,No
80176,42,17,1680000,95503,2,Bachelor's,0,No,No,Yes,No,0,Yes
80577,45,20,850000,91711,4,Bachelor's,0,Yes,No,Yes,No,0,No
80978,52,25,440000,93111,3,Bachelor's,13500,No,No,Yes,No,0,No
81379,29,3,650000,94132,4,Bachelor's,24400,No,No,No,No,0,No
81780,53,29,240000,95818,4,Higher Secondary,0,No,No,Yes,Yes,2000,No
82181,62,37,110000,91942,1,Higher Secondary,0,No,No,Yes,No,0,No
82582,51,27,380000,90401,2,Master's and above,16400,No,No,Yes,No,0,No
82983,36,12,100000,93524,4,Bachelor's,8100,No,No,No,No,0,No
83384,24,0,1350000,95133,1,Higher Secondary,0,No,No,Yes,No,0,No
83785,29,3,1480000,92173,3,Higher Secondary,0,No,No,Yes,No,0,Yes
84186,52,26,630000,92717,2,Bachelor's,0,Yes,No,Yes,No,0,No
84587,39,14,1150000,91320,1,Master's and above,0,No,No,Yes,No,0,No
84988,48,23,450000,95616,1,Higher Secondary,0,No,No,Yes,Yes,3000,No
85389,46,21,1590000,94305,3,Master's and above,31500,No,No,Yes,No,0,Yes
85790,64,40,1690000,91320,2,Higher Secondary,12200,No,No,Yes,No,0,No
86191,55,29,1120000,94043,2,Higher Secondary,0,No,No,Yes,No,0,No
86592,60,36,930000,92521,1,Higher Secondary,0,No,No,Yes,No,0,No
86993,51,25,290000,90404,1,Master's and above,14000,No,No,No,No,0,No
87394,50,23,850000,92122,,Bachelor's,0,No,No,Yes,No,0,No
87795,48,24,210000,93118,4,Higher Secondary,0,No,No,Yes,Yes,6000,No
88196,53,29,1440000,92697,2,Higher Secondary,0,No,No,Yes,No,0,No
88597,34,10,130000,94577,4,Higher Secondary,9500,Yes,No,Yes,No,0,No
88998,48,24,1650000,93407,1,Higher Secondary,0,No,No,No,Yes,50000,No
89399,55,31,90000,91345,4,Higher Secondary,8900,No,No,Yes,No,0,No
89800,27,3,590000,94123,,Higher Secondary,9000,Yes,No,Yes,No,0,No
90201,36,11,1580000,92152,1,Master's and above,0,No,Yes,Yes,Yes,51000,Yes
90602,32,6,290000,91355,1,Master's and above,0,No,No,Yes,Yes,19000,No
91003,35,9,200000,94609,2,Master's and above,0,No,No,Yes,Yes,14000,No
91404,30,3,680000,94306,4,Bachelor's,0,No,No,Yes,No,0,No
91805,58,34,650000,95747,4,Higher Secondary,0,No,No,Yes,No,0,No
92206,56,31,610000,96150,2,Bachelor's,10500,No,No,No,No,0,No
92607,38,12,910000,95616,4,Bachelor's,10000,No,No,No,Yes,14000,No
93008,49,25,310000,91355,1,Higher Secondary,0,Yes,No,Yes,No,0,No
93409,34,10,710000,94115,4,Bachelor's,0,No,No,No,No,0,No
93810,40,16,730000,94110,4,Higher Secondary,0,No,No,Yes,Yes,26700,No
94211,64,39,1720000,94707,4,Higher Secondary,28200,No,Yes,Yes,Yes,31000,Yes
94612,51,26,200000,92131,2,Higher Secondary,0,No,No,No,No,0,No
95013,44,18,550000,94720,1,Higher Secondary,0,No,No,No,No,0,No
95414,46,22,690000,91604,2,Higher Secondary,20900,No,No,No,No,0,No
95815,57,33,1550000,91326,1,Higher Secondary,0,No,No,Yes,No,0,No
96216,54,28,940000,90291,1,Bachelor's,0,No,No,No,No,0,No
96617,38,14,920000,95818,2,Higher Secondary,24900,No,No,Yes,Yes,240000,No
97018,27,3,1250000,95521,2,Higher Secondary,0,No,No,No,No,0,No
97419,39,14,740000,94305,3,Higher Secondary,0,No,No,No,No,0,No
97820,44,20,720000,92807,3,Master's and above,0,No,No,Yes,No,0,No
98221,56,30,610000,94707,1,Master's and above,0,No,No,Yes,Yes,22000,No
98622,32,6,250000,92130,2,Higher Secondary,0,No,No,No,Yes,3000,No
99023,45,19,830000,95051,2,Bachelor's,0,No,No,Yes,No,0,No
99424,26,2,1040000,94306,3,Higher Secondary,0,No,No,No,No,0,No
99825,55,25,410000,95014,3,Master's and above,0,No,No,Yes,No,0,No
100226,52,27,580000,94305,4,Master's and above,9100,No,No,No,No,0,No
100627,39,13,930000,94720,1,Master's and above,0,No,No,No,Yes,15000,No
101028,24,-1,390000,94085,2,Bachelor's,0,No,No,No,No,0,No
101429,47,23,1480000,94551,2,Higher Secondary,0,No,Yes,Yes,Yes,75000,No
101830,47,22,530000,92677,4,Master's and above,9800,Yes,Yes,No,Yes,19000,No
102231,48,24,710000,93117,2,Higher Secondary,14500,No,No,No,Yes,17000,No
102632,47,22,920000,94720,1,Bachelor's,0,No,No,Yes,No,0,No
103033,35,10,610000,94304,4,Master's and above,0,No,No,Yes,No,0,No
103434,46,19,380000,94122,3,Bachelor's,13500,No,No,No,No,0,No
103835,62,37,580000,91320,4,Higher Secondary,0,No,No,Yes,No,0,No
104236,26,1,800000,95616,1,Bachelor's,15000,No,No,No,No,0,No
104637,38,8,710000,94720,4,Master's and above,0,No,No,Yes,No,0,No
105038,43,18,890000,93407,3,Master's and above,0,No,No,Yes,Yes,5000,No
105439,62,38,830000,92521,1,Master's and above,0,No,No,Yes,No,0,No
105840,57,32,280000,95831,3,Higher Secondary,0,No,No,Yes,Yes,2000,No
106241,28,3,520000,94112,4,Bachelor's,0,No,No,No,No,0,No
106642,51,26,700000,90089,1,Higher Secondary,16900,No,No,No,No,0,No
107043,48,22,710000,91711,1,Master's and above,0,No,No,No,Yes,14000,No
107444,41,16,750000,94005,1,Master's and above,28000,No,No,No,No,0,No
107845,65,39,1700000,90095,3,Master's and above,9900,No,Yes,Yes,No,0,Yes
108246,41,17,780000,94025,4,Higher Secondary,7800,No,No,Yes,No,0,No
108647,35,11,250000,92614,2,Bachelor's,0,No,No,No,No,0,No
109048,38,14,600000,94025,2,Master's and above,0,No,No,Yes,Yes,6000,No
109449,53,29,1200000,92626,4,Bachelor's,11100,Yes,Yes,Yes,No,0,Yes
109850,55,29,990000,92121,2,Higher Secondary,26400,No,No,Yes,Yes,14000,No
110251,26,1,550000,90089,3,Master's and above,11300,No,No,No,Yes,26000,No
110652,30,6,290000,94305,3,Bachelor's,11700,No,No,No,No,0,No
111053,54,28,1700000,92182,2,Bachelor's,32500,No,No,Yes,No,0,Yes
111454,65,40,530000,91711,3,Higher Secondary,0,No,No,No,Yes,22000,No
111855,47,21,1380000,94583,1,Higher Secondary,0,No,No,No,No,0,No
112256,65,41,1340000,91942,3,Master's and above,12100,No,No,Yes,No,0,Yes
112657,66,40,420000,92103,2,Master's and above,13800,No,No,No,Yes,7000,No
113058,26,0,990000,92697,4,,0,No,No,No,Yes,23000,No
113459,66,41,180000,92691,3,Higher Secondary,0,No,No,No,Yes,5000,No
113860,35,9,240000,95747,4,Higher Secondary,0,No,No,Yes,No,0,No
114261,56,30,550000,94107,1,Higher Secondary,7700,No,No,Yes,No,0,No
114662,51,27,580000,92407,1,Higher Secondary,0,No,No,No,Yes,0,No
115063,42,16,1110000,93106,2,Master's and above,25100,No,No,Yes,No,0,Yes
115464,49,23,330000,90245,1,Master's and above,0,No,Yes,Yes,Yes,3000,No
115865,27,1,740000,92121,4,Bachelor's,11200,No,No,Yes,Yes,18000,No
116266,45,19,380000,90840,2,Higher Secondary,0,No,No,No,No,0,No
116667,49,23,230000,94305,4,Master's and above,9800,Yes,No,No,No,0,No
117068,63,38,610000,94720,2,Higher Secondary,0,No,No,Yes,No,0,No
117469,47,22,810000,90504,1,Higher Secondary,13800,No,No,No,No,0,No
117870,64,39,1290000,94002,1,Higher Secondary,0,No,No,Yes,No,0,No
118271,43,13,330000,95039,1,Master's and above,0,No,No,No,No,0,No
118672,60,36,630000,94063,4,Higher Secondary,0,No,No,Yes,No,0,No
119073,40,14,700000,94923,4,Bachelor's,0,No,No,Yes,No,0,No
119474,29,3,450000,95023,4,Higher Secondary,15800,No,No,Yes,Yes,2000,No
119875,41,16,650000,90095,3,Master's and above,0,No,No,Yes,No,0,No
120276,30,5,740000,95616,4,Higher Secondary,0,Yes,No,No,Yes,22000,No
120677,49,24,500000,94706,4,Master's and above,0,Yes,No,No,No,0,No
121078,30,5,220000,90058,4,Master's and above,10900,No,No,Yes,No,0,No
121479,29,2,300000,92126,4,Master's and above,0,No,No,No,No,0,No
121880,50,26,210000,91125,4,Higher Secondary,0,No,No,Yes,No,0,No
122281,39,14,1550000,94577,2,Higher Secondary,0,No,No,Yes,No,0,No
122682,33,8,640000,92121,4,Master's and above,16400,No,No,Yes,No,0,No
123083,57,31,650000,94118,4,Master's and above,0,No,No,No,Yes,26000,No
123484,34,9,710000,91711,4,Master's and above,0,No,No,Yes,No,0,No
123885,61,36,400000,90029,3,Bachelor's,0,Yes,No,Yes,No,0,No
124286,44,19,690000,92806,3,Master's and above,0,No,No,Yes,No,0,No
124687,40,13,690000,94305,3,Bachelor's,0,No,No,No,No,0,No
125088,51,25,450000,94806,3,Bachelor's,13100,No,No,Yes,No,0,No
125489,37,12,620000,92110,3,Bachelor's,0,No,No,No,Yes,7000,No
125890,44,19,1720000,94306,2,Master's and above,39100,Yes,Yes,Yes,No,0,Yes
126291,42,15,240000,92121,3,Bachelor's,0,No,No,Yes,Yes,10000,No
126692,51,25,800000,92373,1,Higher Secondary,0,No,No,No,No,0,No
127093,43,16,80000,90089,3,Bachelor's,8800,No,No,Yes,No,0,No
127494,30,5,380000,94542,4,Higher Secondary,12900,No,No,Yes,Yes,8000,No
127895,45,19,930000,90095,4,Master's and above,0,No,No,No,No,0,No
128296,35,9,550000,94536,1,Higher Secondary,0,No,No,Yes,No,0,No
128697,60,34,640000,94304,2,Master's and above,0,No,No,No,Yes,17000,No
129098,34,9,1220000,90623,1,Higher Secondary,0,No,No,Yes,No,0,No
129499,55,25,700000,93720,3,Master's and above,0,No,No,Yes,No,0,No
129900,43,19,810000,92069,2,Higher Secondary,0,No,No,No,No,0,No
130301,41,15,1590000,90057,1,Master's and above,0,No,Yes,Yes,No,0,Yes
130702,34,9,700000,92843,4,Higher Secondary,0,Yes,No,No,No,0,No
131103,65,39,1500000,92120,2,Higher Secondary,19600,No,No,No,No,0,No
131504,45,21,1520000,94550,2,Higher Secondary,0,No,No,Yes,No,0,No
131905,49,25,1950000,95605,4,Higher Secondary,61700,No,No,No,No,0,Yes
132306,48,23,220000,90740,1,Higher Secondary,0,No,No,No,No,0,No
132707,60,35,220000,91207,1,Higher Secondary,12300,No,No,Yes,No,0,No
133108,55,29,790000,92373,3,Higher Secondary,0,No,No,Yes,Yes,8000,No
133509,42,18,330000,90401,1,Master's and above,0,No,No,Yes,No,0,No
133910,32,8,1280000,94720,2,Higher Secondary,0,No,Yes,Yes,Yes,43300,No
134311,62,38,910000,95929,1,Higher Secondary,0,Yes,No,Yes,No,0,No
134712,57,32,390000,90277,4,Higher Secondary,0,No,No,Yes,Yes,9000,No
135113,52,26,1210000,94550,1,Higher Secondary,16700,No,No,Yes,No,0,No
135514,36,6,210000,91741,1,Master's and above,0,Yes,No,Yes,No,0,No
135915,34,9,410000,93720,3,Higher Secondary,0,No,No,No,Yes,23000,No
136316,63,37,450000,93437,2,Master's and above,0,No,No,Yes,No,0,No
136717,24,-2,510000,90630,3,Master's and above,0,No,No,Yes,No,0,No
137118,57,31,1650000,95054,1,Bachelor's,0,No,No,Yes,No,0,Yes
137519,40,16,1190000,91335,2,Bachelor's,0,No,No,Yes,No,0,Yes
137920,27,2,1100000,95670,4,Master's and above,19000,No,No,Yes,No,0,No
138321,65,39,200000,90034,3,Bachelor's,0,No,No,No,Yes,7000,No
138722,60,34,640000,90266,1,Bachelor's,24800,No,No,No,No,0,No
139123,44,20,1010000,92717,,Bachelor's,8200,No,No,No,No,0,Yes
139524,63,39,1010000,92007,1,Higher Secondary,0,Yes,Yes,Yes,No,0,Yes
139925,59,34,990000,90034,1,Higher Secondary,0,No,No,No,No,0,Yes
140326,56,30,1580000,90089,4,Higher Secondary,0,No,No,No,No,0,Yes
140727,54,28,890000,95039,1,Bachelor's,0,No,No,Yes,Yes,19000,No
141128,52,27,800000,95616,1,Master's and above,0,No,Yes,Yes,Yes,13000,No
141529,58,32,1140000,91330,2,Higher Secondary,40200,No,No,Yes,No,0,No
141930,60,35,490000,94110,3,Bachelor's,0,No,No,Yes,Yes,5000,No
142331,28,4,1910000,90064,1,Higher Secondary,0,No,No,Yes,No,0,No
142732,54,30,780000,92374,4,Bachelor's,0,No,No,Yes,No,0,No
143133,32,6,280000,94115,3,Higher Secondary,0,No,No,No,No,0,No
143534,59,33,420000,95630,1,Bachelor's,0,No,No,Yes,No,0,No
143935,63,38,1400000,92407,1,Higher Secondary,0,No,No,No,No,0,No
144336,48,23,450000,95053,1,Bachelor's,0,No,No,Yes,No,0,No
144737,56,32,1220000,95827,2,Higher Secondary,36000,No,Yes,Yes,Yes,3000,No
145138,36,12,650000,95051,3,Bachelor's,0,No,No,Yes,No,0,No
145539,57,27,680000,94117,1,Master's and above,0,No,No,Yes,No,0,No
145940,29,3,1530000,93657,2,Higher Secondary,39200,No,No,No,No,0,No
146341,39,13,890000,92110,4,Bachelor's,0,No,No,No,No,0,No
146742,59,34,910000,93524,1,Higher Secondary,0,No,No,Yes,Yes,26000,No
147143,31,6,550000,92038,4,Bachelor's,18500,No,No,Yes,No,0,No
147544,43,19,1180000,91304,2,Higher Secondary,0,No,No,No,Yes,33000,No
147945,35,5,220000,93407,1,Master's and above,10300,No,No,No,No,0,No
148346,54,24,630000,92606,3,Master's and above,13800,No,No,Yes,Yes,14000,No
148747,51,27,120000,92192,4,Bachelor's,7800,Yes,No,Yes,No,0,No
149148,44,19,500000,90745,3,Bachelor's,0,No,No,Yes,No,0,No
149549,25,0,430000,94305,2,Master's and above,0,Yes,Yes,Yes,Yes,16000,No
149950,40,15,1730000,95060,4,Higher Secondary,0,No,Yes,Yes,Yes,66000,Yes
150351,26,2,600000,93407,,Higher Secondary,13200,No,No,No,No,0,Yes
150752,39,14,1130000,94301,1,Master's and above,0,Yes,No,Yes,No,0,No
